,sigma8,Omegam,ns,wa,Omegab,h,w0,lnbgs8_1,lnbgs8_2,lnbgs8_3,lnbgs8_4,Ps_1,Ps_2,Ps_3,Ps_4
sigma8,268635.2342930638,326108.0067301462,-39689.69380814413,13646.013433730106,26277.12048339464,-1678202.0234323377,87299.31725238747,200897.09365137864,193728.76827694144,163753.19870801351,159150.48487542418,17.686551449552272,16.00825168418915,12.580715533557209,11.04851495758281
Omegam,326108.0067301462,2287383.8719890565,310063.62991464,60968.86798345644,-1611026.8747735554,-4036056.9414268704,242129.8557410608,617285.5363574316,635800.0074243193,554940.9860798421,520772.2315602808,66.48947323822509,64.84592209135661,54.166883531118806,49.48855312436387
ns,-39689.69380814413,310063.62991464,253178.79205438937,-13492.886639444736,-883079.0751263306,112027.5875041673,-55852.83456054273,-18376.394537160348,-30741.980725854606,-44080.311080101084,-78788.62374815569,8.573055934816953,7.536423644980412,5.4311234172553355,3.594133794988007
wa,13646.013433730106,60968.86798345644,-13492.886639444736,4244.942329632189,20808.459941914633,-155662.43323076324,16533.483532014634,25786.20461899713,28917.0270442018,27262.59306858144,29085.894995923743,1.6863274383950675,1.8583462872176701,1.688943921203152,1.6835111552924786
Omegab,26277.12048339464,-1611026.8747735554,-883079.0751263306,20808.459941914633,4632290.2735578455,-38561.871103957004,78464.42578890701,-71463.45877644513,-31201.1759648647,31433.11444771898,155372.73610707908,-38.44171135039214,-35.024250393680305,-26.68075477555447,-20.28415057400288
h,-1678202.0234323377,-4036056.9414268704,112027.5875041673,-155662.43323076324,-38561.871103957004,13864986.240376387,-770815.7281821923,-1860150.0854856633,-1824680.4534793952,-1555675.2764337407,-1494309.3518017828,-171.27896054757008,-158.3035936938761,-126.32829532658099,-111.173169039513
w0,87299.31725238747,242129.8557410608,-55852.83456054273,16533.483532014634,78464.42578890701,-770815.7281821923,70422.90069711601,123745.76660020195,128056.56126016041,114102.75751896611,116008.65484377899,8.531876045953931,8.582921162275044,7.3066528922847755,6.8738609876251076
lnbgs8_1,200897.09365137864,617285.5363574316,-18376.394537160348,25786.20461899713,-71463.45877644513,-1860150.0854856633,123745.76660020195,1011775.9377128354,0.0,0.0,0.0,84.28360971568611,0.0,0.0,0.0
lnbgs8_2,193728.76827694144,635800.0074243193,-30741.980725854606,28917.0270442018,-31201.1759648647,-1824680.4534793952,128056.56126016041,0.0,1018330.5311390512,0.0,0.0,0.0,80.46802160441446,0.0,0.0
lnbgs8_3,163753.19870801351,554940.9860798421,-44080.311080101084,27262.59306858144,31433.11444771898,-1555675.2764337407,114102.75751896611,0.0,0.0,892001.9860693247,0.0,0.0,0.0,66.39877904725905,0.0
lnbgs8_4,159150.48487542418,520772.2315602808,-78788.62374815569,29085.894995923743,155372.73610707908,-1494309.3518017828,116008.65484377899,0.0,0.0,0.0,886274.9167338198,0.0,0.0,0.0,60.8451584013748
Ps_1,17.686551449552272,66.48947323822509,8.573055934816953,1.6863274383950675,-38.44171135039214,-171.27896054757008,8.531876045953931,84.28360971568611,0.0,0.0,0.0,0.00938310337887213,0.0,0.0,0.0
Ps_2,16.00825168418915,64.84592209135661,7.536423644980412,1.8583462872176701,-35.024250393680305,-158.3035936938761,8.582921162275044,0.0,80.46802160441446,0.0,0.0,0.0,0.008555064912311767,0.0,0.0
Ps_3,12.580715533557209,54.166883531118806,5.4311234172553355,1.688943921203152,-26.68075477555447,-126.32829532658099,7.3066528922847755,0.0,0.0,66.39877904725905,0.0,0.0,0.0,0.006741749099800024,0.0
Ps_4,11.04851495758281,49.48855312436387,3.594133794988007,1.6835111552924786,-20.28415057400288,-111.173169039513,6.8738609876251076,0.0,0.0,0.0,60.8451584013748,0.0,0.0,0.0,0.005886535048554416
